date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:28	75785/75785	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2021:57:29%20GMT	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193.html	(from )
18:57:33	413/413	---M-Z	200	added ('OK')	text/plain	date:Wed,%2001%20Mar%202023%2021:57:36%20GMT	https://www.mayoclinic.org/robots.txt		(from )
18:57:34	12340/12340	---M--	200	added ('OK')	image/png	etag:d3bd075a8df641a1a053666e042ec201	https://www.mayoclinic.org/-/media/web/gbs/shared/images/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/web/gbs/shared/images/apple-touch-icon-152x152.png	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:34	381/381	---M--	200	added ('OK')	image/png	etag:08d7f59ce9524ab7831d596048830116	https://www.mayoclinic.org/-/media/web/gbs/shared/images/favicon.png	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/web/gbs/shared/images/favicon.png	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:35	16178/16178	---M--	200	added ('OK')	image/png	etag:1c87b2a4fb794abe8b45e499321606fe	https://www.mayoclinic.org/-/media/web/gbs/shared/images/mstile-144x144.png	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/web/gbs/shared/images/mstile-144x144.png	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:35	477534/477534	---M-Z	200	added ('OK')	text/css	etag:%22d7ef87135b42d91:0%22	https://www.mayoclinic.org/bundles/styles/goldStandardHeader.css?v=6CF3471B5428CA8287081568502A61A542C191C8	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/bundles/styles/goldStandardHeader600d.css	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:35	59772/59772	---M-Z	200	added ('OK')	text/css	etag:347f64f1b415487d9c3f2b7bf183ba5b	https://www.mayoclinic.org/-/media/web/gbs/shared/css/accessibility.css?v=14	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/web/gbs/shared/css/Accessibilityae24.css	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:37	1900/1900	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Mar%202023%2021:57:40%20GMT	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/ak.m	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/ak.m	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:38	1900/1900	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Mar%202023%2021:57:41%20GMT	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/ak.t	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/ak.t	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:40	415952/415952	---MCZ	200	added ('OK')	application/javascript	etag:W/%22546539462e8b2b1b9e8d80b7f9d5ddf2%22	http://nexus.ensighten.com/mayo_clinic/clinicprod/Bootstrap.js	C:/My%20Web%20Sites/MELLITUS%20WP/nexus.ensighten.com/mayo_clinic/clinicprod/Bootstrap.js	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:41	11797/11797	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2015:40:26%20GMT	https://www.mayoclinic.org/-/media/kcms/gbs/research/images/2013/05/02/10/56/globalnav-patientcare.jpg	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/kcms/gbs/research/images/2013/05/02/10/56/globalnav-patientcare.jpg	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:41	21870/21870	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2021:57:44%20GMT	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193?p=1	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193cff1.html	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:41	25946/25946	---M-Z	200	added ('OK')	text/css	etag:65ca8934e0484d98ad3d44424e33fcc5	https://www.mayoclinic.org/~/media/kcms/ux/css/newslettereh.css	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/_/media/kcms/ux/css/newslettereh.css	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:42	38075/38075	---M-Z	200	added ('OK')	application/x-javascript	etag:edd38bdbcacc4dc993ed962b0a90468d	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/~/media/kcms/ux/javascript/subscriptionlist.js	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/_/media/kcms/ux/javascript/subscriptionlist.js	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:43	9219/9219	---M-Z	200	added ('OK')	application/x-javascript	etag:89a1f4a980f546acb9ea987881d36f16	https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/~/media/kcms/ux/javascript/newslettereh.js	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/_/media/kcms/ux/javascript/newslettereh.js	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:43	3409/3409	---M--	200	added ('OK')	image/png	etag:%22b47a3db27740d91:0%22	https://www.mayoclinic.org/styles/img/logo-mayoclinic.png	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/styles/img/logo-mayoclinic.png	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:44	6799/6799	---M--	200	added ('OK')	image/gif	etag:%22607b5705-1a8f%22	https://www.honcode.ch/HONcode/Seal/HONConduct636199_hr1.gif	C:/My%20Web%20Sites/MELLITUS%20WP/www.honcode.ch/HONcode/Seal/HONConduct636199_hr1.gif	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:45	144242/144242	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e13cd135b42d91:0%22	https://www.mayoclinic.org/bundles/scripts/goldStandardFooter.js?v=4666728EEF9794616E5213D92D6EC375B2A274B9	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/bundles/scripts/goldStandardFooterde2f.js	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:45	39887/39887	---M-Z	200	added ('OK')	application/x-javascript	etag:f2de6c98a27f4d3dbe383ce77a855bf0	https://www.mayoclinic.org/-/media/kcms/ux/javascript/accessibility.js?v=11	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/-/media/kcms/ux/javascript/Accessibility3f56.js	(from https://www.mayoclinic.org/es-es/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193)
18:57:50	105/105	---M--	200	added ('OK')	image/png	etag:%22855c73b27740d91:0%22	https://www.mayoclinic.org/styles/img/x-grid-5824.png	C:/My%20Web%20Sites/MELLITUS%20WP/www.mayoclinic.org/styles/img/x-grid-5824.png	(from https://www.mayoclinic.org/bundles/styles/goldStandardHeader.css?v=6CF3471B5428CA8287081568502A61A542C191C8)
